Keys,en,zh
_appName,Simple Tower Defense,简易塔防
_General,General,通用
_Volume,Volume,音量
_Language,Language,语言
_Master_Volume,Master Volume,主音量
_Music,Music,音乐
_Sound,Sound,音效
_Restart,Restart,重新开始
_Resume,Resume,返回游戏
_NextLevel,Next Level,下一关
_Main_Menu,Main Menu,主菜单
_Start_game,Start Game,开始游戏
_Settings,Settings,设置
_About,About,关于
_About_Title,About the Game,关于游戏
_About_Text,"[b]Simple Tower Defense[/b]\n\nBuild towers, stop incoming waves, and survive as long as you can.\nEach level teaches a different battle rhythm and reward system.\nThe goal is to protect the base, manage resources, and improve your defense line.","[b]简易塔防[/b]\n\n建造防御塔，阻止敌人进攻，并尽可能保住基地。\n每一关都有不同的节奏和奖励节奏，考验你的资源管理和布局能力。\n目标是守住基地、合理建塔、不断提升防线。"
_Close,Close,关闭
_Tutorial,Tutorial,教程
_LevelFailed,Level Failed,失败
_LevelCompleted,Level Completed,过关
_GemReward,Gems earned: +%d,获得宝石：+%d
_SelectLevel,Select Level,选择关卡
_Wave,Wave,波数
_machineGunTowerDesc,"Quick Fire,Effectively combat the enemy","快速射击,有效打击敌人"
_cannonTowerDesc,"High-power strike,Effective combat the enemy","大威力，有效打击敌人"
_rocketTowerDesc,"Launch missiles to attack enemies, with air defense capability","发射导弹打击敌人，具有防空功能"
_EMPTowerDesc,"Effectively slow down the enemy","有效减速敌人"
_droneBaseDesc,"Launch drones to attack enemies, track and strike enemies over a wide range, and can target enemies in the air","出动无人机打击敌人，大范围跟踪打击敌人，可打击空中敌人"
_teslaCoilTowerDesc,"Release electric energy to attack enemies, capable of chain attacks","释放电能打击敌人，可以连锁打击"
_laserTowerDesc,"Laser TLock onto targets at a distance and simultaneously strike multiple enemies","远距离锁定目标，同时打击多个敌人"
_TowerName_machineGun,Machine Gun Tower,机枪塔
_TowerName_cannon,Cannon Tower,加农炮塔
_TowerName_rocket,Rocket Tower,火箭炮塔
_TowerName_emp,EMP Tower,EMP干扰塔
_TowerName_drone,Drone Base,无人机基地
_TowerName_tesla,Tesla Coil Tower,特斯拉线圈塔
_TowerName_laser,Laser Tower,激光塔
_HP,HP,血量
_EXP,EXP,经验
_Atk,ATK,攻击
_FireRate,Fire Rate,射速
_Range,Range,范围
_Cost,Cost,造价
_SellPrice,Sell Price,出售价
_PanelHint,Click the tower again or empty ground to deselect.,再次点击该塔或点击空地取消选择。
_Speed,Speed,移动速度
_Armor,Armor,护甲
_Flying,Flying,飞行
_Yes,Yes,是
_No,No,否
_Reward,Kill Reward,击杀奖励
_EscapeCost,Escape Loss,逃脱扣血
_RewardExp,Kill EXP,击杀经验
_Dps,DPS,每秒伤害
_OneShot,One-shot,一次性
_EnemyPanelHint,Click the enemy again or empty ground to deselect.,再次点击该敌人或点击空地取消选择。
_EnemyName_miniTank,Mini Tank,迷你坦克
_EnemyName_mediumTank,Medium Tank,中型坦克
_EnemyName_heavyTank,Heavy Tank,重型坦克
_EnemyName_armoredTank,Armored Tank,装甲坦克
_EnemyName_assaultBuggy,Assault Buggy,突击车
_EnemyName_medic,Repair Truck,维修车
_EnemyName_suicideTruck,Suicide Truck,自爆车
_EnemyName_missileTruck,Missile Truck,导弹车
_EnemyName_scoutDrone,Scout Drone,侦察无人机
_EnemyName_attackHelicopter,Attack Helicopter,攻击直升机
_EnemyRole_pusher,Pusher,推进型
_EnemyRole_attacker,Attacker,对抗型
_EnemyRole_support,Support,支援型
_EnemyRole_bomber,Suicide Bomber,自爆型
_EnemyRole_siege,Siege,远程打击型
_EnemyRole_air,Air Unit,空中单位
_LevelTitleFmt,Level %s,第 %s 关
_LevelIntel,Level Briefing,关卡情报
_BaseHealth,Base HP,基地生命
_StartMoney,Start Money,初始金币
_GemRewardShort,Gem Reward,宝石奖励
_TotalEnemies,Total Enemies,敌人总数
_EnemyTypes,Enemy Types,敌人种类
_EnemyIntel,Enemy Intel,敌方情报
_EnemyColName,Enemy,敌人
_EnemyColRole,Role,定位
_EnemyColCount,Count,数量
_EnemyColHp,HP,血量
_EnemyColSpeed,Speed,速度
_EnemyColAir,Air,空中
_BeginBattle,Begin Battle,开始战斗
_IntelHint,"Close this window, then press Start to begin the battle.",关闭本窗口后点击开始按钮进入战斗。
_NoEnemyData,No enemy data for this level.,本关暂无敌人数据。
_Achievements,Achievements,成就
_AchievementUnlocked,Unlocked,已解锁
_AchievementLocked,Locked,未解锁
_AchvHoverHint,Hover an achievement to see its details,把鼠标移到成就上查看详情
_AchievementToast,Achievement Unlocked,成就达成
_Achv_first_defense_name,First Defense,初次防守
_Achv_first_defense_desc,Complete level 1,完成第 1 关
_Achv_ground_breaker_name,Ground Breaker,地面清扫者
_Achv_ground_breaker_desc,Defeat 100 ground enemies in total,累计击败 100 个地面敌人
_Achv_iron_hunter_name,Iron Hunter,重装猎手
_Achv_iron_hunter_desc,Defeat 20 heavy or armored tanks in total,累计击败 20 个重型坦克或装甲坦克
_Achv_sky_guardian_name,Sky Guardian,天空守卫
_Achv_sky_guardian_desc,Defeat 30 air enemies in total,累计击败 30 个空中敌人
_Achv_full_armory_name,Full Armory,全域火力
_Achv_full_armory_desc,Use 7 kinds of towers in one level,同一关中使用过 7 种防御塔
_Achv_chain_reaction_name,Chain Reaction,连锁反应
_Achv_chain_reaction_desc,Defeat 5 enemies with Tesla or Rocket towers in one run,单局内使用 Tesla 或火箭塔击败 5 个敌人
_Achv_veteran_tower_name,Veteran Tower,老兵塔
_Achv_veteran_tower_desc,Level any tower up to level 3,任意一座塔升至 3 级
_Achv_perfect_base_name,Perfect Base,零损防线
_Achv_perfect_base_desc,Complete any level without losing base HP,不损失基地生命完成任意关卡
_Achv_route_master_name,Route Master,路线掌控者
_Achv_route_master_desc,Win a multi-route level with no enemies escaping,在多路线关卡中胜利且没有敌人逃脱
